epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7842565774917603,0.0010000000474974513,0.7237179279327393,0.867132842540741,0.3585154712200165
1,0.9049562811851501,0.0010000000474974513,0.3054479658603668,0.8881118893623352,0.3648781180381775
2,0.9551020264625549,0.0010000000474974513,0.15337152779102325,0.9370629191398621,0.20071978867053986
3,0.9720116853713989,0.0010000000474974513,0.09330155700445175,0.9533799290657043,0.2280508130788803
4,0.9708454608917236,0.0010000000474974513,0.09381765127182007,0.9650349617004395,0.1185590922832489
5,0.9900874495506287,0.0010000000474974513,0.03542258217930794,0.9580419659614563,0.2009076178073883
6,0.9877551198005676,0.0010000000474974513,0.044113174080848694,0.9533799290657043,0.19139505922794342
7,0.9924198389053345,0.0010000000474974513,0.02177167311310768,0.9603729844093323,0.2135230004787445
8,0.9842565655708313,0.0010000000474974513,0.04565463215112686,0.9230769276618958,0.5010471940040588
9,0.9825072884559631,0.0010000000474974513,0.05392046645283699,0.9673659801483154,0.18125596642494202
10,0.9970845580101013,0.0005000000237487257,0.012719633989036083,0.9766899943351746,0.15551061928272247
11,0.9994168877601624,0.0005000000237487257,0.002946444321423769,0.9720279574394226,0.13383592665195465
12,1.0,0.0005000000237487257,0.0019041048362851143,0.9743589758872986,0.15913844108581543
13,0.9976676106452942,0.0005000000237487257,0.005412926431745291,0.9696969985961914,0.16910430788993835
14,1.0,0.0005000000237487257,0.0006309657474048436,0.9720279574394226,0.18243558704853058
